Date,Type,Company,Female,Male,White,Asian,Latino,Black,Multi,Other,Undeclared 
2014,Country,U.S. Population,50.79,49.21,64,4,16,12,1,3,null
2014,Social Media,Facebook,31,69,57,34,4,2,3,null,null
2014,Social Media,Instagram,31,69,57,34,4,2,3,null,null
2014,Social Media,Google+,30,70,61,30,3,2,4,null,null
2014,Social Media,YouTube,30,70,61,30,3,2,4,null,null
2014,Social Media,LinkedIn,39,61,53,38,4,2,2,1,null
2014,Social Media,Pinterest,40,60,50,42,2,1,null,5,null
2014,Social Media,Tumblr,37,62,50,39,4,2,2,2,null
2014,Social Media,Flickr,37,62,50,39,4,2,2,2,null
2014,Social Media,Twitter,30,70,59,29,3,2,3,4,null
2014,Tech,Yahoo!,37,62,50,39,4,2,2,2,null
2014,Tech,Google,30,70,61,30,3,2,4,null,null
2014,Tech,Apple,30,70,55,15,11,7,2,1,9
2014,Tech,Cisco,23,77,54,null,null,null,null,null,null
2014,Tech,eBay,42,58,61,24,5,7,1,1,null
2014,Tech,HP,33,67,72,6,14,7,1,null,null
2014,Tech,Indiegogo,45,55,64,23,8,2,null,3,null
2014,Tech,Nvidia,16.05,83.95,38,44,3,1,14,null,null
2014,Tech,Dell,30,70.45,68.65,9.11,11.14,10.04,null,0.97,null
2014,Tech,Ingram Micro,42,58.22,63.03,10.52,15.7,10.13,null,0.48,null
2014,Tech,Intel,25,75.44,60.81,26.05,8.63,3.61,null,0.93,null
2014,Tech,Groupon,47,53,71,15,5,4,null,4,null
2014,Tech,Amazon,37,63,60,13,9,15,null,3,null
2014,Tech,Salesforce,29,71,67,22,4,2,2,3,null
2014,Tech,Pandora,49,51,71,12,7,3,6,1,null
2014,Tech,Microsoft,29,71,60.6,28.9,5.1,3.5,1.2,0.8,null
2014,Entity,DiversityInc top 50,54,46,68,10,10,12,null,null,null
2014,Entity,Fortune 500 CEOs,4.8,95,83,1.8,2,1.2,null,null,null
2014,Entity,Kaiser Permanente,76,24,48,20,18,13,null,null,null
2014,Government,US Congress,19,81,80,5.6,6,8,null,null,null
2014,Entity,Venture Capitalists,11,89,87,9,2,2,2,null,null
2016,Country,U.S. Population,50.79,49.21,64,4,16,12,1,3,null
2016,Social Media,Facebook,33,67,53,38,4,2,3,null,null
2016,Social Media,Instagram,31,69,57,34,4,2,3,null,null
2016,Social Media,Google+,30,70,60,31,3,2,3,1,null
2016,Social Media,YouTube,30,70,61,30,3,2,4,null,null
2016,Social Media,LinkedIn,42,58,56,37,4,2,1,null,null
2016,Social Media,Pinterest,40,60,50,42,2,1,null,5,null
2016,Social Media,Tumblr,37,62,50,39,4,2,2,2,1
2016,Social Media,Flickr,37,62,50,39,4,2,2,2,1
2016,Social Media,Twitter,34,56,59,29,3,2,3,4,null
2016,Tech,Yahoo!,37,62,47,43,4,2,2,3,null
2016,Tech,Google,31,69,59,32,3,2,3,1,null
2016,Tech,Apple,32,68,56,19,12,9,2,1,2
2016,Tech,Cisco,23,77,54,null,null,null,null,null,null
2016,Tech,eBay,43,57,60,25,5,8,1,1,null
2016,Tech,HP,33,67,72,6,14,7,1,null,null
2016,Tech,Indiegogo,45,55,64,23,8,2,null,3,null
2016,Tech,Nvidia,16.05,83.95,38,44,3,1,14,null,null
2016,Tech,Dell,30,70.45,68.65,9.11,11.14,10.04,null,0.97,null
2016,Tech,Ingram Micro,42,58.22,63.03,10.52,15.7,10.13,null,0.48,null
2016,Tech,Intel,25,75.44,60.81,26.05,8.63,3.61,null,0.93,null
2016,Tech,Groupon,47,53,71,15,5,4,null,4,null
2016,Tech,Amazon,37,63,60,13,9,15,null,3,null
2016,Tech,Etsy,51,49,79,11,4,3,3,null,null
2016,Tech,Microsoft,28,72,59,28.9,5.1,3.5,1.2,0.8,null
2016,Tech,Salesforce,29,71,67,22,4,2,2,3,null
2016,Tech,Pandora,49,51,71,12,7,3,6,1,null
2016,Tech,Uber,36.1,63.9,49.8,30.9,5.6,8.8,4.3,0.6,null
2016,Entity,DiversityInc top 50,54,46,68,10,10,12,null,null,null
2016,Entity,Fortune 500 CEOs,4.8,95,83,1.8,2,1.2,null,null,null
2016,Entity,Kaiser Permanente,76,24,48,20,18,13,null,null,null
2016,Government,US Congress,19,81,80,5.6,6,8,null,null,null
2016,Entity,Venture Capitalists,11,89,87,9,2,2,2,null,null
2018,Country,U.S. Population,51,49,61,5.7,17.8,13.3,2.6,0.2,null
2018,Social Media,Facebook,35,65,49,40,5,3,3,1,null
2018,Social Media,Instagram,35,65,49,40,5,3,3,1,null
2018,Social Media,Google+,31,69,56,35,4,2,4,1,null
2018,Social Media,YouTube,31,69,56,35,4,2,4,1,null
2018,Social Media,LinkedIn,42,58,52,39,4,4,2,null,null
2018,Social Media,Pinterest,45,55,48,41,6,3,2,1,null
2018,Social Media,Tumblr,37,63,45,44,4,2,2,3,null
2018,Social Media,Flickr,37,63,45,44,4,2,2,3,null
2018,Social Media,Twitter,37,63,57,32,4,3,3,1,null
2018,Tech,Yahoo!,37,63,45,44,4,2,2,3,null
2018,Tech,Google,31,69,56,35,4,2,4,1,null
2018,Tech,Apple,32,68,54,21,13,9,3,1,2
2018,Tech,Cisco,24,76,53,37,5,4,1,null,null
2018,Tech,eBay,38,62,52,40,4,2,1,1,null
2018,Tech,HP,37,63,73,12,8,4,2,1,null
2018,Tech,Indiegogo,50,50,58,28,7,4,null,3,null
2018,Tech,Nvidia,17,83,37,45,3,1,14,null,null
2018,Tech,Dell,28,72,68.65,9.11,11.14,10.04,null,0.97,null
2018,Tech,Ingram Micro,31,69,52,14,19,14,1,null,null
2018,Tech,Intel,26,73.9,48,38,9,4,1,null,null
2018,Tech,Groupon,44,56,62,20,8,8,null,3,null
2018,Tech,Amazon,39,61,48,13,13,21,null,5,null
2018,Tech,Etsy,54,46,79,10,4,3,4,null,null
2018,Tech,Microsoft,26,74,56,31,6,4,2,null,null
2018,Tech,Salesforce,31,69,65,24,4,3,3,null,2
2018,Tech,Pandora,49,51,65,16,8,5,5,1,null
2018,Tech,Uber,36.1,63.9,49.8,30.9,5.6,8.8,4.3,0.6,null
2018,Entity,DiversityInc top 50,44,56,78,6,7,9,null,null,null
2018,Entity,Fortune 500 CEOs,6,94,73,21,3,2,0.5,null,null
2018,Government,US Congress,20,80,80,3,7,9,null,null,null
2015,Country,U.S. Population,50.79,49.21,64,4,16,12,1,3,null
2015,Social Media,Facebook,32,68,55,36,4,2,3,null,null
2015,Social Media,Instagram,31,69,57,34,4,2,3,null,null
2015,Social Media,Google+,30,70,60,31,3,2,3,1,null
2015,Social Media,YouTube,30,70,61,30,3,2,4,null,null
2015,Social Media,LinkedIn,42,58,56,37,4,2,1,null,null
2015,Social Media,Pinterest,40,60,50,42,2,1,null,5,null
2015,Social Media,Tumblr,37,62,50,39,4,2,2,2,1
2015,Social Media,Flickr,37,62,50,39,4,2,2,2,1
2015,Social Media,Twitter,30,70,59,29,3,2,3,4,null
2015,Tech,Yahoo!,37,62,50,39,4,2,2,2,1
2015,Tech,Google,30,70,60,31,3,2,3,1,null
2015,Tech,Apple,31,69,54,18,11,8,2,1,6
2015,Tech,Cisco,23,77,54,null,null,null,null,null,null
2015,Tech,eBay,43,57,60,25,5,8,1,1,null
2015,Tech,HP,33,67,72,6,14,7,1,null,null
2015,Tech,Indiegogo,45,55,64,23,8,2,null,3,null
2015,Tech,Nvidia,16.05,83.95,38,44,3,1,14,null,null
2015,Tech,Dell,30,70.45,68.65,9.11,11.14,10.04,null,0.97,null
2015,Tech,Ingram Micro,42,58.22,63.03,10.52,15.7,10.13,null,0.48,null
2015,Tech,Intel,25,75.44,60.81,26.05,8.63,3.61,null,0.93,null
2015,Tech,Groupon,47,53,71,15,5,4,null,4,null
2015,Tech,Amazon,37,63,60,13,9,15,null,3,null
2015,Tech,Etsy,51,49,79,11,4,3,3,null,null
2015,Tech,Microsoft,28,72,59,28.9,5.1,3.5,1.2,0.8,null
2015,Tech,Salesforce,29,71,67,22,4,2,2,3,null
2015,Tech,Pandora,49,51,71,12,7,3,6,1,null
2015,Entity,DiversityInc top 50,54,46,68,10,10,12,null,null,null
2015,Entity,Fortune 500 CEOs,4.8,95,83,1.8,2,1.2,null,null,null
2015,Entity,Kaiser Permanente,76,24,48,20,18,13,null,null,null
2015,Government,US Congress,19,81,80,5.6,6,8,null,null,null
2015,Entity,Venture Capitalists,11,89,87,9,2,2,2,null,null
2018,Country,U.S. Population,51,49,61,5.7,17.8,13.3,2.6,0.2,null
2018,Social Media,Facebook,35,65,49,40,5,3,3,1,null
2018,Social Media,Instagram,35,65,49,40,5,3,3,1,null
2018,Social Media,Google+,31,69,56,35,4,2,4,1,null
2018,Social Media,YouTube,31,69,56,35,4,2,4,1,null
2018,Social Media,LinkedIn,42,58,52,39,4,4,2,null,null
2018,Social Media,Pinterest,45,55,48,41,6,3,2,1,null
2018,Social Media,Tumblr,37,63,45,44,4,2,2,3,null
2018,Social Media,Flickr,37,63,45,44,4,2,2,3,null
2018,Social Media,Twitter,38.4,61.6,43.5,25.8,3.4,3.4,2.7,null,21.1
2018,Tech,Yahoo!,37,63,45,44,4,2,2,3,null
2018,Tech,Google,31,69,53,36,4,3,4,null,null
2018,Tech,Apple,32,68,54,21,13,9,3,1,2
2018,Tech,Cisco,24,76,53,37,5,4,1,null,null
2018,Tech,eBay,40,60,50,39,6,3,1,1,null
2018,Tech,HP,37,63,73,12,8,4,2,1,null
2018,Tech,Indiegogo,50,50,58,28,7,4,null,3,null
2018,Tech,Nvidia,17,83,37,45,3,1,14,null,null
2018,Tech,Dell,28,72,68.65,9.11,11.14,10.04,null,0.97,null
2018,Tech,Ingram Micro,31,69,52,14,19,14,1,null,null
2018,Tech,Intel,26.5,73.5,47.8,38.5,8.8,4,0.2,0.7,null
2018,Tech,Groupon,44,56,62,20,8,8,null,3,null
2018,Tech,Amazon,39,61,48,13,13,21,null,5,null
2018,Tech,Etsy,54,46,79,10,4,3,4,null,null
2018,Tech,Microsoft,26,74,56,31,6,4,2,1,null
2018,Tech,Salesforce,30.9,68.7,64.69,23.87,3.9,2.53,2.56,0.1,1.98
2018,Tech,Pandora,49,51,65,16,8,5,5,1,null
2018,Tech,Uber,38,62,48.6,32.3,6.1,8.1,4.3,0.7,null
2018,Tech,Slack,44.7,55.3,58.7,24.4,6.9,4.9,4.4,0.7,null
2018,Tech,AirBnB,41.15,59,49.81,36.36,7.44,3.45,2.52,0.5,null
2018,Tech,Netflix,43,57,49,24,6,4,null,4,13
2018,Tech,Yelp,54,46,62,15,10,6,5,2,null
2018,Entity,DiversityInc top 50,44,56,78,6,7,9,null,null,null
2018,Entity,Fortune 500 CEOs,6,94,73,21,3,2,0.5,0.5,null
2018,Government,US Congress,20,80,80,3,7,9,null,1,null
